= = = = = = = = ' t w e e n - d e c k s ADV-b
= = = = = = = = = = = = = ' t w o u l d CCON-X
= = = = = = = = = = = = = = ' n e a t h PREP-X
= = = = = = = = = = = = = = ' t w e e n ADV-b|PREP-X
= = = = = = = = = = = = = = ' t w e r e CCON-X
= = = = = = = = = = = = = = ' t w i l l CCON-X
= = = = = = = = = = = = = = ' t w i x t ADV-b|PREP-X
= = = = = = = = = = = = = = = ' s h u n I-X
= = = = = = = = = = = = = = = ' t w a s CCON-X
= = = = = = = = = = = = = = = = ' t i s CCON-X
= = = = = = = = = = = = = = = = = ' e m SCON-X
= = = = = = = = = = = = = = = = = ' l l SCON-X
= = = = = = = = = = = = = = = = = ' r e SCON-X
= = = = = = = = = = = = = = = = = ' u n PRON-X
= = = = = = = = = = = = = = = = = ' v e SCON-X
= = = = = = = = = = = = = = = = = = ' d SCON-X
= = = = = = = = = = = = = = = = = = ' s SCON-X
= = = = = = = = = = = = = = = = = = = A ABB-X
= = = = = = = = = = = = = = = = = = = B ABB-X
= = = = = = = = = = = = = = = = = = = C ABB-X
= = = = = = = = = = = = = = = = = = = D ABB-X
= = = = = = = = = = = = = = = = = = = E ABB-X
= = = = = = = = = = = = = = = = = = = F ABB-X
= = = = = = = = = = = = = = = = = = = G ABB-X
= = = = = = = = = = = = = = = = = = = I PRON-X
= = = = = = = = = = = = = = = = = = = J ABB-X
= = = = = = = = = = = = = = = = = = = K ABB-X
= = = = = = = = = = = = = = = = = = = L ABB-X
= = = = = = = = = = = = = = = = = = = M ABB-X
= = = = = = = = = = = = = = = = = = = N ABB-X
= = = = = = = = = = = = = = = = = = = P ABB-X
= = = = = = = = = = = = = = = = = = = Q ABB-X
= = = = = = = = = = = = = = = = = = = R ABB-X
= = = = = = = = = = = = = = = = = = = S ABB-X
= = = = = = = = = = = = = = = = = = = U A-b|ABB-X
= = = = = = = = = = = = = = = = = = = V ABB-X
= = = = = = = = = = = = = = = = = = = W ABB-X
= = = = = = = = = = = = = = = = = = = X ABB-X
= = = = = = = = = = = = = = = = = = = a ART-X|LET-X|N-S
= = = = = = = = = = = = = = = = = = = b ABB-X|LET-X|N-S
= = = = = = = = = = = = = = = = = = = c ABB-X|LET-X|N-S
= = = = = = = = = = = = = = = = = = = d ABB-X|LET-X|N-S
= = = = = = = = = = = = = = = = = = = e ABB-X|LET-X|N-S
= = = = = = = = = = = = = = = = = = = f LET-X|N-S
= = = = = = = = = = = = = = = = = = = g LET-X|N-S
= = = = = = = = = = = = = = = = = = = h LET-X|N-S
= = = = = = = = = = = = = = = = = = = i LET-X|N-S
= = = = = = = = = = = = = = = = = = = j LET-X|N-S
= = = = = = = = = = = = = = = = = = = k LET-X|N-S
= = = = = = = = = = = = = = = = = = = l ABB-X|LET-X|N-S
= = = = = = = = = = = = = = = = = = = m ABB-X|LET-X|N-S
= = = = = = = = = = = = = = = = = = = n ABB-X|LET-X|N-S
= = = = = = = = = = = = = = = = = = = o I-X|LET-X|N-S
= = = = = = = = = = = = = = = = = = = p ABB-X|LET-X|N-S
= = = = = = = = = = = = = = = = = = = q ABB-X|LET-X|N-S
= = = = = = = = = = = = = = = = = = = r ABB-X|LET-X|N-S
= = = = = = = = = = = = = = = = = = = s LET-X|N-S
= = = = = = = = = = = = = = = = = = = t LET-X|N-S
= = = = = = = = = = = = = = = = = = = u LET-X|N-S
= = = = = = = = = = = = = = = = = = = v ABB-X|LET-X|N-S
= = = = = = = = = = = = = = = = = = = w LET-X|N-S
= = = = = = = = = = = = = = = = = = = x LET-X|N-S
= = = = = = = = = = = = = = = = = = = y LET-X|N-S
= = = = = = = = = = = = = = = = = = = z LET-X|N-S
= = = = = = = = = = = = = = = = = = A A ABB-X|N-S
= = = = = = = = = = = = = = = = = = A D ABB-X
= = = = = = = = = = = = = = = = = = A M ABB-X
= = = = = = = = = = = = = = = = = = A l N-S
= = = = = = = = = = = = = = = = = = B A ABB-X
= = = = = = = = = = = = = = = = = = B C ABB-X
= = = = = = = = = = = = = = = = = = B O ABB-X
= = = = = = = = = = = = = = = = = = B R ABB-X
= = = = = = = = = = = = = = = = = = B r ABB-X
= = = = = = = = = = = = = = = = = = C I ABB-X
= = = = = = = = = = = = = = = = = = C P ABB-X
= = = = = = = = = = = = = = = = = = D C ABB-X
= = = = = = = = = = = = = = = = = = D J ABB-X
= = = = = = = = = = = = = = = = = = D r ABB-X
= = = = = = = = = = = = = = = = = = F M ABB-X
= = = = = = = = = = = = = = = = = = F O ABB-X
= = = = = = = = = = = = = = = = = = F r ABB-X
= = = = = = = = = = = = = = = = = = G I ABB-X
= = = = = = = = = = = = = = = = = = G P ABB-X
= = = = = = = = = = = = = = = = = = H Q ABB-X
= = = = = = = = = = = = = = = = = = H z ABB-X
= = = = = = = = = = = = = = = = = = I Q ABB-X
= = = = = = = = = = = = = = = = = = J P ABB-X
= = = = = = = = = = = = = = = = = = J r ABB-X
= = = = = = = = = = = = = = = = = = K O ABB-X|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = = K t ABB-X
= = = = = = = = = = = = = = = = = = L P ABB-X
= = = = = = = = = = = = = = = = = = M A ABB-X
= = = = = = = = = = = = = = = = = = M C ABB-X
= = = = = = = = = = = = = = = = = = M D ABB-X
= = = = = = = = = = = = = = = = = = M O ABB-X
= = = = = = = = = = = = = = = = = = M P ABB-X
= = = = = = = = = = = = = = = = = = M S ABB-X
= = = = = = = = = = = = = = = = = = M r ABB-X
= = = = = = = = = = = = = = = = = = M s ABB-X
= = = = = = = = = = = = = = = = = = M t ABB-X
= = = = = = = = = = = = = = = = = = N B ABB-X
= = = = = = = = = = = = = = = = = = N E ABB-X
= = = = = = = = = = = = = = = = = = N W ABB-X
= = = = = = = = = = = = = = = = = = N i ABB-X
= = = = = = = = = = = = = = = = = = O K I-X
= = = = = = = = = = = = = = = = = = P A ABB-X
= = = = = = = = = = = = = = = = = = P E ABB-X
= = = = = = = = = = = = = = = = = = P M ABB-X
= = = = = = = = = = = = = = = = = = P O ABB-X
= = = = = = = = = = = = = = = = = = P R ABB-X
= = = = = = = = = = = = = = = = = = P T ABB-X
= = = = = = = = = = = = = = = = = = P X ABB-X
= = = = = = = = = = = = = = = = = = R N ABB-X
= = = = = = = = = = = = = = = = = = R d ABB-X
= = = = = = = = = = = = = = = = = = R x ABB-X
= = = = = = = = = = = = = = = = = = S E ABB-X
= = = = = = = = = = = = = = = = = = S F ABB-X
= = = = = = = = = = = = = = = = = = S J ABB-X
= = = = = = = = = = = = = = = = = = S S ABB-X
= = = = = = = = = = = = = = = = = = S W ABB-X
= = = = = = = = = = = = = = = = = = S r ABB-X
= = = = = = = = = = = = = = = = = = S t ABB-X
= = = = = = = = = = = = = = = = = = T B ABB-X
= = = = = = = = = = = = = = = = = = T T ABB-X
= = = = = = = = = = = = = = = = = = T V ABB-X
= = = = = = = = = = = = = = = = = = T i ABB-X
= = = = = = = = = = = = = = = = = = U K ABB-X
= = = = = = = = = = = = = = = = = = U N ABB-X
= = = = = = = = = = = = = = = = = = U S ABB-X
= = = = = = = = = = = = = = = = = = V C ABB-X
= = = = = = = = = = = = = = = = = = V D ABB-X
= = = = = = = = = = = = = = = = = = W C ABB-X
= = = = = = = = = = = = = = = = = = a d N-S
= = = = = = = = = = = = = = = = = = a h I-X
= = = = = = = = = = = = = = = = = = a m V-e1S+Dam+Ibe
= = = = = = = = = = = = = = = = = = a n ART-X
= = = = = = = = = = = = = = = = = = a s ADV-b|C-X|PREP-X
= = = = = = = = = = = = = = = = = = a t PREP-X
= = = = = = = = = = = = = = = = = = b e V-i
= = = = = = = = = = = = = = = = = = b o I-X
= = = = = = = = = = = = = = = = = = b y ADV-b|PREP-X
= = = = = = = = = = = = = = = = = = c a ABB-X
= = = = = = = = = = = = = = = = = = c c ABB-X
= = = = = = = = = = = = = = = = = = c m ABB-X
= = = = = = = = = = = = = = = = = = d o N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = = e h I-X
= = = = = = = = = = = = = = = = = = e l N-S
= = = = = = = = = = = = = = = = = = e r I-X
= = = = = = = = = = = = = = = = = = e x N-S
= = = = = = = = = = = = = = = = = = f a N-S
= = = = = = = = = = = = = = = = = = f t ABB-X
= = = = = = = = = = = = = = = = = = g o N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = = h a I-X
= = = = = = = = = = = = = = = = = = h e N-S|PRON-X
= = = = = = = = = = = = = = = = = = h i I-X
= = = = = = = = = = = = = = = = = = h o I-X
= = = = = = = = = = = = = = = = = = h p ABB-X
= = = = = = = = = = = = = = = = = = h r ABB-X
= = = = = = = = = = = = = = = = = = h t ABB-X
= = = = = = = = = = = = = = = = = = i d N-S
= = = = = = = = = = = = = = = = = = i f C-X|N-S
= = = = = = = = = = = = = = = = = = i n A-b|ADV-b|N-S|PREP-X
= = = = = = = = = = = = = = = = = = i s V-e3S+Dis+Ibe
= = = = = = = = = = = = = = = = = = i t N-S|PRON-X
